model,dataset,stem,label,score
audioseal,bonafide,E_0000068801,0,0.010771411471068859
audioseal,bonafide,E_0000068801,1,1.0
audioseal,bonafide,E_0000077580,0,0.007066910155117512
audioseal,bonafide,E_0000077580,1,1.0
audioseal,bonafide,E_0000078124,0,0.00035962191759608686
audioseal,bonafide,E_0000078124,1,1.0
audioseal,bonafide,E_0000106887,0,0.007151501253247261
audioseal,bonafide,E_0000106887,1,1.0
audioseal,bonafide,E_0000246429,0,0.003929920960217714
audioseal,bonafide,E_0000246429,1,1.0
audioseal,bonafide,E_0000257343,0,0.0779399499297142
audioseal,bonafide,E_0000257343,1,1.0
audioseal,bonafide,E_0000277012,0,0.0
audioseal,bonafide,E_0000277012,1,1.0
audioseal,bonafide,E_0000351484,0,0.05659600719809532
audioseal,bonafide,E_0000351484,1,1.0
audioseal,bonafide,E_0000421660,0,0.006039970088750124
audioseal,bonafide,E_0000421660,1,1.0
audioseal,bonafide,E_0000430642,0,0.0
audioseal,bonafide,E_0000430642,1,0.999936580657959
audioseal,bonafide,E_0000439319,0,0.0014586291508749127
audioseal,bonafide,E_0000439319,1,0.999799907207489
audioseal,bonafide,E_0000485164,0,0.0
audioseal,bonafide,E_0000485164,1,1.0
audioseal,bonafide,E_0000551472,0,0.0
audioseal,bonafide,E_0000551472,1,1.0
audioseal,bonafide,E_0000627064,0,0.0
audioseal,bonafide,E_0000627064,1,1.0
audioseal,bonafide,E_0000657716,0,0.0032143695279955864
audioseal,bonafide,E_0000657716,1,1.0
audioseal,bonafide,E_0000684645,0,0.0016498080221936107
audioseal,bonafide,E_0000684645,1,1.0
audioseal,bonafide,E_0000688823,0,0.27035632729530334
audioseal,bonafide,E_0000688823,1,1.0
audioseal,bonafide,E_0000704813,0,0.0024006543681025505
audioseal,bonafide,E_0000704813,1,1.0
audioseal,bonafide,E_0000709671,0,0.009630843065679073
audioseal,bonafide,E_0000709671,1,1.0
audioseal,bonafide,E_0000735976,0,0.045739319175481796
audioseal,bonafide,E_0000735976,1,1.0
audioseal,bonafide,E_0000736300,0,0.0007394979475066066
audioseal,bonafide,E_0000736300,1,1.0
audioseal,bonafide,E_0000786443,0,0.0
audioseal,bonafide,E_0000786443,1,0.9999670386314392
audioseal,bonafide,E_0000791113,0,0.0
audioseal,bonafide,E_0000791113,1,1.0
audioseal,bonafide,E_0000824730,0,0.04043564945459366
audioseal,bonafide,E_0000824730,1,0.9998899698257446
audioseal,bonafide,E_0000891828,0,0.0
audioseal,bonafide,E_0000891828,1,1.0
audioseal,bonafide,E_0000957163,0,0.0
audioseal,bonafide,E_0000957163,1,1.0
audioseal,bonafide,E_0001047147,0,0.0
audioseal,bonafide,E_0001047147,1,1.0
audioseal,bonafide,E_0001060500,0,0.06529036909341812
audioseal,bonafide,E_0001060500,1,1.0
audioseal,bonafide,E_0001164835,0,0.00018052403174806386
audioseal,bonafide,E_0001164835,1,1.0
audioseal,bonafide,E_0001255274,0,0.0034498493187129498
audioseal,bonafide,E_0001255274,1,1.0
audioseal,bonafide,E_0001269259,0,0.02551610767841339
audioseal,bonafide,E_0001269259,1,1.0
audioseal,bonafide,E_0001270528,0,0.0
audioseal,bonafide,E_0001270528,1,1.0
audioseal,bonafide,E_0001291814,0,0.0004342261527199298
audioseal,bonafide,E_0001291814,1,1.0
audioseal,bonafide,E_0001292524,0,0.0
audioseal,bonafide,E_0001292524,1,1.0
audioseal,bonafide,E_0001316732,0,0.0
audioseal,bonafide,E_0001316732,1,1.0
audioseal,bonafide,E_0001317040,0,0.0
audioseal,bonafide,E_0001317040,1,1.0
audioseal,bonafide,E_0001436097,0,0.0007548787398263812
audioseal,bonafide,E_0001436097,1,1.0
audioseal,bonafide,E_0001436568,0,0.0016934670275077224
audioseal,bonafide,E_0001436568,1,1.0
audioseal,bonafide,E_0001438350,0,0.0
audioseal,bonafide,E_0001438350,1,1.0
audioseal,bonafide,E_0001443220,0,0.0
audioseal,bonafide,E_0001443220,1,1.0
audioseal,bonafide,E_0001521738,0,0.010904383845627308
audioseal,bonafide,E_0001521738,1,0.9999934434890747
audioseal,bonafide,E_0001585210,0,0.12248370051383972
audioseal,bonafide,E_0001585210,1,1.0
audioseal,bonafide,E_0001595909,0,0.10658611357212067
audioseal,bonafide,E_0001595909,1,1.0
audioseal,bonafide,E_0001664811,0,0.01199007872492075
audioseal,bonafide,E_0001664811,1,1.0
audioseal,bonafide,E_0001767450,0,0.0015809470787644386
audioseal,bonafide,E_0001767450,1,1.0
audioseal,bonafide,E_0001920630,0,0.0
audioseal,bonafide,E_0001920630,1,1.0
audioseal,bonafide,E_0002000261,0,0.047446779906749725
audioseal,bonafide,E_0002000261,1,1.0
audioseal,bonafide,E_0002018664,0,0.028189264237880707
audioseal,bonafide,E_0002018664,1,1.0
audioseal,bonafide,E_0002072198,0,0.0
audioseal,bonafide,E_0002072198,1,1.0
audioseal,bonafide,E_0002138252,0,0.0
audioseal,bonafide,E_0002138252,1,1.0
audioseal,bonafide,E_0002141439,0,0.001121962210163474
audioseal,bonafide,E_0002141439,1,1.0
audioseal,bonafide,E_0002144931,0,0.0
audioseal,bonafide,E_0002144931,1,0.9998676180839539
audioseal,bonafide,E_0002159850,0,0.12118789553642273
audioseal,bonafide,E_0002159850,1,0.9998096823692322
audioseal,bonafide,E_0002219449,0,0.05507354810833931
audioseal,bonafide,E_0002219449,1,1.0
audioseal,bonafide,E_0002243055,0,0.0
audioseal,bonafide,E_0002243055,1,1.0
audioseal,bonafide,E_0002276859,0,0.0
audioseal,bonafide,E_0002276859,1,1.0
audioseal,bonafide,E_0002283723,0,0.0
audioseal,bonafide,E_0002283723,1,1.0
audioseal,bonafide,E_0002303766,0,0.0
audioseal,bonafide,E_0002303766,1,1.0
audioseal,bonafide,E_0002462619,0,0.09392411261796951
audioseal,bonafide,E_0002462619,1,1.0
audioseal,bonafide,E_0002480871,0,0.3106229305267334
audioseal,bonafide,E_0002480871,1,1.0
audioseal,bonafide,E_0002534133,0,0.05000852793455124
audioseal,bonafide,E_0002534133,1,1.0
audioseal,bonafide,E_0002630776,0,0.10013294219970703
