model_type,dataset_type,stem,original_path,watermarked_path,logmel_score,stft_score
audioseal,bonafide,E_0004056257,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004056257.flac,watermarked_audios/audioseal/bonafide/E_0004056257_watermarked.flac,0.3277568817138672,0.2243889570236206
audioseal,bonafide,E_0003386003,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0003386003.flac,watermarked_audios/audioseal/bonafide/E_0003386003_watermarked.flac,0.44403722882270813,0.282858669757843
audioseal,bonafide,E_0000736300,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000736300.flac,watermarked_audios/audioseal/bonafide/E_0000736300_watermarked.flac,0.407164603471756,0.2619946002960205
audioseal,bonafide,E_0009191360,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009191360.flac,watermarked_audios/audioseal/bonafide/E_0009191360_watermarked.flac,0.33691728115081787,0.22597093880176544
audioseal,bonafide,E_0001255274,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001255274.flac,watermarked_audios/audioseal/bonafide/E_0001255274_watermarked.flac,0.27281269431114197,0.18952859938144684
audioseal,bonafide,E_0000485164,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000485164.flac,watermarked_audios/audioseal/bonafide/E_0000485164_watermarked.flac,0.3099794089794159,0.20954148471355438
audioseal,bonafide,E_0004395059,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0004395059.flac,watermarked_audios/audioseal/bonafide/E_0004395059_watermarked.flac,0.3652081787586212,0.2427780032157898
audioseal,bonafide,E_0007758447,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007758447.flac,watermarked_audios/audioseal/bonafide/E_0007758447_watermarked.flac,0.37943100929260254,0.2497386485338211
audioseal,bonafide,E_0006572936,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0006572936.flac,watermarked_audios/audioseal/bonafide/E_0006572936_watermarked.flac,0.3798013925552368,0.2410971075296402
audioseal,bonafide,E_0009644713,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0009644713.flac,watermarked_audios/audioseal/bonafide/E_0009644713_watermarked.flac,0.48960018157958984,0.3108103275299072
audioseal,bonafide,E_0000551472,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0000551472.flac,watermarked_audios/audioseal/bonafide/E_0000551472_watermarked.flac,0.4683302044868469,0.30653712153434753
audioseal,bonafide,E_0007226810,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0007226810.flac,watermarked_audios/audioseal/bonafide/E_0007226810_watermarked.flac,0.30471256375312805,0.20055155456066132
audioseal,bonafide,E_0005768825,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0005768825.flac,watermarked_audios/audioseal/bonafide/E_0005768825_watermarked.flac,0.31298714876174927,0.22738711535930634
audioseal,bonafide,E_0001164835,datasets/ASVspoof5_partitions/audio_data/bonafide/E_0001164835.flac,watermarked_audios/audioseal/bonafide/E_0001164835_watermarked.flac,0.3557250201702118,0.23875115811824799
