model,dataset,stem,label,filter_type,band,score
audioseal,bonafide,E_0000068801,0,none,unfiltered,0.010771411471068859
audioseal,bonafide,E_0000068801,0,bandstop,0-250Hz,0.0038064385298639536
audioseal,bonafide,E_0000068801,0,bandpass,0-250Hz,0.0
audioseal,bonafide,E_0000068801,0,bandstop,250-500Hz,0.010198709554970264
audioseal,bonafide,E_0000068801,0,bandpass,250-500Hz,0.0
audioseal,bonafide,E_0000068801,0,bandstop,500-1kHz,0.01519104465842247
audioseal,bonafide,E_0000068801,0,bandpass,500-1kHz,0.0005611315136775374
audioseal,bonafide,E_0000068801,0,bandstop,1k-2kHz,0.00010991236194968224
audioseal,bonafide,E_0000068801,0,bandpass,1k-2kHz,0.0004454342997632921
audioseal,bonafide,E_0000068801,0,bandstop,2k-4kHz,0.009706996381282806
audioseal,bonafide,E_0000068801,0,bandpass,2k-4kHz,0.004691522102802992
audioseal,bonafide,E_0000068801,0,bandstop,4k-8kHz,0.018216527998447418
audioseal,bonafide,E_0000068801,0,bandpass,4k-8kHz,0.0013131634332239628
audioseal,bonafide,E_0000068801,1,none,unfiltered,1.0
audioseal,bonafide,E_0000068801,1,bandstop,0-250Hz,1.0
audioseal,bonafide,E_0000068801,1,bandpass,0-250Hz,0.0
audioseal,bonafide,E_0000068801,1,bandstop,250-500Hz,0.9987794160842896
audioseal,bonafide,E_0000068801,1,bandpass,250-500Hz,0.005408844910562038
audioseal,bonafide,E_0000068801,1,bandstop,500-1kHz,0.582136332988739
audioseal,bonafide,E_0000068801,1,bandpass,500-1kHz,0.3966216444969177
audioseal,bonafide,E_0000068801,1,bandstop,1k-2kHz,0.011540797539055347
audioseal,bonafide,E_0000068801,1,bandpass,1k-2kHz,0.7126948833465576
audioseal,bonafide,E_0000068801,1,bandstop,2k-4kHz,0.692366898059845
audioseal,bonafide,E_0000068801,1,bandpass,2k-4kHz,0.2933560907840729
audioseal,bonafide,E_0000068801,1,bandstop,4k-8kHz,0.9216903448104858
audioseal,bonafide,E_0000068801,1,bandpass,4k-8kHz,0.012813467532396317
audioseal,bonafide,E_0000077580,0,none,unfiltered,0.007066910155117512
audioseal,bonafide,E_0000077580,0,bandstop,0-250Hz,0.0
audioseal,bonafide,E_0000077580,0,bandpass,0-250Hz,0.004481297917664051
audioseal,bonafide,E_0000077580,0,bandstop,250-500Hz,0.0012379988329485059
audioseal,bonafide,E_0000077580,0,bandpass,250-500Hz,0.0009413949446752667
audioseal,bonafide,E_0000077580,0,bandstop,500-1kHz,0.004958443343639374
audioseal,bonafide,E_0000077580,0,bandpass,500-1kHz,0.0
audioseal,bonafide,E_0000077580,0,bandstop,1k-2kHz,0.0044039227068424225
audioseal,bonafide,E_0000077580,0,bandpass,1k-2kHz,0.0
audioseal,bonafide,E_0000077580,0,bandstop,2k-4kHz,0.0034496320877224207
audioseal,bonafide,E_0000077580,0,bandpass,2k-4kHz,0.010348896495997906
audioseal,bonafide,E_0000077580,0,bandstop,4k-8kHz,0.02202606201171875
audioseal,bonafide,E_0000077580,0,bandpass,4k-8kHz,0.05046134814620018
audioseal,bonafide,E_0000077580,1,none,unfiltered,1.0
audioseal,bonafide,E_0000077580,1,bandstop,0-250Hz,1.0
audioseal,bonafide,E_0000077580,1,bandpass,0-250Hz,0.007363514043390751
audioseal,bonafide,E_0000077580,1,bandstop,250-500Hz,1.0
audioseal,bonafide,E_0000077580,1,bandpass,250-500Hz,0.0018054149113595486
audioseal,bonafide,E_0000077580,1,bandstop,500-1kHz,0.9640077352523804
audioseal,bonafide,E_0000077580,1,bandpass,500-1kHz,0.5353248715400696
audioseal,bonafide,E_0000077580,1,bandstop,1k-2kHz,0.5451321601867676
audioseal,bonafide,E_0000077580,1,bandpass,1k-2kHz,0.973995566368103
audioseal,bonafide,E_0000077580,1,bandstop,2k-4kHz,0.9721385836601257
audioseal,bonafide,E_0000077580,1,bandpass,2k-4kHz,0.24571697413921356
audioseal,bonafide,E_0000077580,1,bandstop,4k-8kHz,1.0
audioseal,bonafide,E_0000077580,1,bandpass,4k-8kHz,0.05006157606840134
audioseal,bonafide,E_0000078124,0,none,unfiltered,0.00035962191759608686
audioseal,bonafide,E_0000078124,0,bandstop,0-250Hz,0.0
audioseal,bonafide,E_0000078124,0,bandpass,0-250Hz,0.0
audioseal,bonafide,E_0000078124,0,bandstop,250-500Hz,0.0
audioseal,bonafide,E_0000078124,0,bandpass,250-500Hz,0.0
audioseal,bonafide,E_0000078124,0,bandstop,500-1kHz,0.0
audioseal,bonafide,E_0000078124,0,bandpass,500-1kHz,0.001452058320865035
audioseal,bonafide,E_0000078124,0,bandstop,1k-2kHz,0.0
audioseal,bonafide,E_0000078124,0,bandpass,1k-2kHz,0.0
audioseal,bonafide,E_0000078124,0,bandstop,2k-4kHz,0.001194216194562614
audioseal,bonafide,E_0000078124,0,bandpass,2k-4kHz,0.0041254740208387375
audioseal,bonafide,E_0000078124,0,bandstop,4k-8kHz,0.008033817633986473
audioseal,bonafide,E_0000078124,0,bandpass,4k-8kHz,0.00937731098383665
audioseal,bonafide,E_0000078124,1,none,unfiltered,1.0
audioseal,bonafide,E_0000078124,1,bandstop,0-250Hz,1.0
audioseal,bonafide,E_0000078124,1,bandpass,0-250Hz,0.0
audioseal,bonafide,E_0000078124,1,bandstop,250-500Hz,1.0
audioseal,bonafide,E_0000078124,1,bandpass,250-500Hz,0.005319690331816673
audioseal,bonafide,E_0000078124,1,bandstop,500-1kHz,0.9628300070762634
audioseal,bonafide,E_0000078124,1,bandpass,500-1kHz,0.514571487903595
audioseal,bonafide,E_0000078124,1,bandstop,1k-2kHz,0.4602889120578766
audioseal,bonafide,E_0000078124,1,bandpass,1k-2kHz,0.8757200837135315
audioseal,bonafide,E_0000078124,1,bandstop,2k-4kHz,0.9742700457572937
audioseal,bonafide,E_0000078124,1,bandpass,2k-4kHz,0.3386077880859375
audioseal,bonafide,E_0000078124,1,bandstop,4k-8kHz,1.0
audioseal,bonafide,E_0000078124,1,bandpass,4k-8kHz,0.009696220979094505
audioseal,bonafide,E_0000106887,0,none,unfiltered,0.007151501253247261
audioseal,bonafide,E_0000106887,0,bandstop,0-250Hz,0.001887011807411909
audioseal,bonafide,E_0000106887,0,bandpass,0-250Hz,0.14820562303066254
audioseal,bonafide,E_0000106887,0,bandstop,250-500Hz,0.006050744093954563
audioseal,bonafide,E_0000106887,0,bandpass,250-500Hz,0.014761080965399742
audioseal,bonafide,E_0000106887,0,bandstop,500-1kHz,0.006809650920331478
audioseal,bonafide,E_0000106887,0,bandpass,500-1kHz,0.0
audioseal,bonafide,E_0000106887,0,bandstop,1k-2kHz,0.00019143597455695271
audioseal,bonafide,E_0000106887,0,bandpass,1k-2kHz,0.0
audioseal,bonafide,E_0000106887,0,bandstop,2k-4kHz,0.0016819017473608255
audioseal,bonafide,E_0000106887,0,bandpass,2k-4kHz,0.08945529907941818
audioseal,bonafide,E_0000106887,0,bandstop,4k-8kHz,0.00907953456044197
audioseal,bonafide,E_0000106887,0,bandpass,4k-8kHz,0.05045705288648605
audioseal,bonafide,E_0000106887,1,none,unfiltered,1.0
audioseal,bonafide,E_0000106887,1,bandstop,0-250Hz,1.0
audioseal,bonafide,E_0000106887,1,bandpass,0-250Hz,0.4450407922267914
audioseal,bonafide,E_0000106887,1,bandstop,250-500Hz,1.0
